Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Variant Weight Unit,Included / Singapore,Included / Australia,Included / Eurozone,Included / India,Included / International,Included / Japan,Included / United Kingdom,Included / United States,Status
dz-bt14-021,"DZ-BT14/021 X-CeeDaNCe, Preshy Forewatt [RRR]","<p><strong>X-CeeDaNCe, Preshy Forewatt</strong></p>
<p>Card Number: DZ-BT14/021</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/021,0.002,shopify,1,deny,manual,2.0,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_021.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-022,"DZ-BT14/022 Venatiol, Marield [RR]","<p><strong>Venatiol, Marield</strong></p>
<p>Card Number: DZ-BT14/022</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/022,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_022.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-023,DZ-BT14/023 Obliterate Dragon [RR],"<p><strong>Obliterate Dragon</strong></p>
<p>Card Number: DZ-BT14/023</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/023,0.002,shopify,1,deny,manual,1.6,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_023.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-024,DZ-BT14/024 Forlorn Hope Dragon [RR],"<p><strong>Forlorn Hope Dragon</strong></p>
<p>Card Number: DZ-BT14/024</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/024,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_024.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-025,DZ-BT14/025 Outburst Dragon [RR],"<p><strong>Outburst Dragon</strong></p>
<p>Card Number: DZ-BT14/025</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/025,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_025.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-026,DZ-BT14/026 Fluid Suffocator [RR],"<p><strong>Fluid Suffocator</strong></p>
<p>Card Number: DZ-BT14/026</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/026,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_026.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-027,"DZ-BT14/027 Direful Doll, Concetta [RR]","<p><strong>Direful Doll, Concetta</strong></p>
<p>Card Number: DZ-BT14/027</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/027,0.002,shopify,1,deny,manual,2.0,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_027.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-028,DZ-BT14/028 Pious Breath Dragon [RR],"<p><strong>Pious Breath Dragon</strong></p>
<p>Card Number: DZ-BT14/028</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/028,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_028.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-029,DZ-BT14/029 Montmegantique Chimaera [RR],"<p><strong>Montmegantique Chimaera</strong></p>
<p>Card Number: DZ-BT14/029</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/029,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_029.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-030,DZ-BT14/030 Evenfortz Rotovisor [RR],"<p><strong>Evenfortz Rotovisor</strong></p>
<p>Card Number: DZ-BT14/030</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/030,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_030.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-031,"DZ-BT14/031 Creation Demonic Beast, Uproarious Scream [RR]","<p><strong>Creation Demonic Beast, Uproarious Scream</strong></p>
<p>Card Number: DZ-BT14/031</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/031,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_031.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-032,"DZ-BT14/032 Regrain Researcher, Deep Depths Expose [RR]","<p><strong>Regrain Researcher, Deep Depths Expose</strong></p>
<p>Card Number: DZ-BT14/032</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/032,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_032.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-033,"DZ-BT14/033 Leibreiter, Weibaris [RR]","<p><strong>Leibreiter, Weibaris</strong></p>
<p>Card Number: DZ-BT14/033</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/033,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_033.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-034,"DZ-BT14/034 Bel-Fiore, Meek [RR]","<p><strong>Bel-Fiore, Meek</strong></p>
<p>Card Number: DZ-BT14/034</p>
<p>Rarity: RR</p>
<p>Grade: グレード 3</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/034,0.002,shopify,1,deny,manual,2.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_034.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-035,DZ-BT14/035 Inexpiable Dragon [RR],"<p><strong>Inexpiable Dragon</strong></p>
<p>Card Number: DZ-BT14/035</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/035,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_035.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-036,DZ-BT14/036 Star-select Sorceress [RR],"<p><strong>Star-select Sorceress</strong></p>
<p>Card Number: DZ-BT14/036</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/036,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_036.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-037,"DZ-BT14/037 Knight of Graceful Virtue, Andrivet [RR]","<p><strong>Knight of Graceful Virtue, Andrivet</strong></p>
<p>Card Number: DZ-BT14/037</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/037,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_037.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-038,"DZ-BT14/038 Veleno Soldato, Vespino [RR]","<p><strong>Veleno Soldato, Vespino</strong></p>
<p>Card Number: DZ-BT14/038</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/038,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_038.png,1,false,kg,true,true,true,true,true,true,true,true,active
