Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Variant Weight Unit,Included / Singapore,Included / Australia,Included / Eurozone,Included / India,Included / International,Included / Japan,Included / United Kingdom,Included / United States,Status
dz-ss16-021,"DZ-SS16/021 Fairy of Reluctant Farewell, Aptisheet [RRR]","<p><strong>Fairy of Reluctant Farewell, Aptisheet</strong></p>
<p>Card Number: DZ-SS16/021</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/021,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_021.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-022,"DZ-SS16/022 Green Jeweled Beast, Elmedar [RRR]","<p><strong>Green Jeweled Beast, Elmedar</strong></p>
<p>Card Number: DZ-SS16/022</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/022,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_022.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-023,DZ-SS16/023 イメージしろ！マリレーンとのチェキ会を！ ダウナーお姉さん [RRR],"<p><strong>イメージしろ！マリレーンとのチェキ会を！ ダウナーお姉さん</strong></p>
<p>Card Number: DZ-SS16/023</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/023,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_023.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-024,"DZ-SS16/024 One Night Witch, Strega [RRR]","<p><strong>One Night Witch, Strega</strong></p>
<p>Card Number: DZ-SS16/024</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/024,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_024.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-025,"DZ-SS16/025 Seasong Dragon, Elestino [RRR]","<p><strong>Seasong Dragon, Elestino</strong></p>
<p>Card Number: DZ-SS16/025</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/025,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_025.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-026,"DZ-SS16/026 Rainbow Jeweled Beast, Olpirais [RRR]","<p><strong>Rainbow Jeweled Beast, Olpirais</strong></p>
<p>Card Number: DZ-SS16/026</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/026,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_026.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-027,"DZ-SS16/027 Break Fang Evil Bond, Alrest & Volgamort [RRR]","<p><strong>Break Fang Evil Bond, Alrest & Volgamort</strong></p>
<p>Card Number: DZ-SS16/027</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/027,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_027.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-028,"DZ-SS16/028 Dream Sky Mutual Love, Naama & Samaell [RRR]","<p><strong>Dream Sky Mutual Love, Naama & Samaell</strong></p>
<p>Card Number: DZ-SS16/028</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/028,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_028.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-029,DZ-SS16/029 重蝕望縁 グラヴェル＆オルグス [RRR],"<p><strong>重蝕望縁 グラヴェル＆オルグス</strong></p>
<p>Card Number: DZ-SS16/029</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/029,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_029.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-030,"DZ-SS16/030 Snow Soul Revenge, Maldeas & Koyuki [RRR]","<p><strong>Snow Soul Revenge, Maldeas & Koyuki</strong></p>
<p>Card Number: DZ-SS16/030</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/030,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_030.png,1,false,kg,true,true,true,true,true,true,true,true,active
